Rattanindia Enterprises Ltd,RTNINDIA,78.56,77.89,0.87,0.8,10
NBCC (India) Ltd,NBCC,188.9,187.89,0.53,2.92,15
CG Power and Industrial Solutions Ltd,CGPOWER,726.3,731.51,-0.71,2.24,3
Exide Industries Ltd,EXIDEIND,563.5,562,0.26,2.9,5
NMDC Ltd,NMDC,247.9,245.43,1,4.08,16
Godrej Agrovet Ltd,GODREJAGRO,856.65,847.65,1.06,1.76,2
Himadri Speciality Chemical Ltd,HSCL,418.7,413.1,1.35,2.15,5
Borosil Renewables Ltd,BORORENEW,507.8,506.15,0.32,1.04,2
Datamatics Global Services Ltd,DATAMATICS,652.4,641.45,1.7,1.34,2
Paras Defence and Space Technologies Ltd,PARAS,1434.3,1443.85,-0.66,2.95,2
Zensar Technologies Ltd,ZENSARTECH,787.85,793.83,-0.75,4.05,5
Titagarh Rail Systems Ltd,TITAGARH,1744.35,1662,4.95,1.79,1
Transport Corporation of India Ltd,TCI,931.4,916.7,1.6,2.87,3
Gravita India Ltd,GRAVITA,1410.55,1372.2,2.79,7.26,5
Nazara Technologies Ltd,NAZARA,910.85,906.72,0.45,1.87,2
APL Apollo Tubes Ltd,APLAPOLLO,1548.1,1560,-0.76,1.59,1
Varun Beverages Ltd,VBL,1619.9,1586.45,2.1,1.66,1
Olectra Greentech Ltd,OLECTRA,1806.8,1799.7,0.39,1.86,1
Cochin Shipyard Ltd,COCHINSHIP,2751.9,2746.75,0.18,2.83,1
RITES Ltd,RITES,760.65,761.62,-0.12,3.91,5
TVS Motor Company Ltd,TVSMOTOR,2448.69,2438.94,0.39,2.52,1
Tata Motors Ltd,TATAMOTORS,1023.45,1026.9,-0.33,1.05,1
Tata Technologies Ltd,TATATECH,1026.55,1027.2,-0.06,6.34,6
Bharat Heavy Electricals Ltd,BHEL,325.64,324.71,0.28,5.7,17
Lloyds Metals And Energy Ltd,LLOYDSME,739.3,742.65,-0.45,4.57,6
Lloyds Engineering Works Ltd,LLOYDSENGG,81.73,81.38,0.43,5.98,71
Central Depository Services (India) Ltd,CDSL,2407.19,2398.1,0.37,2.48,1
Railtel Corporation of India Ltd,RAILTEL,575,580,-0.86,3.55,6
Gail (India) Ltd,GAIL,235.21,230.2,2.17,4.84,20
Bharat Electronics Ltd,BEL,331.85,332.4,-0.16,3.42,10
Indian Railway Catering and Tourism Corporation Ltd,IRCTC,1040.45,1041.01,-0.05,7.5,7
